City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Vangaindrano,80,MG,1545509555,85,-23.35,47.6,70.1,5.82
Beyneu,32,KZ,1545509615,64,45.32,55.19,9.67,8.39
Ilulissat,90,GL,1545508200,92,69.22,-51.1,21.2,3.36
Maua,12,KE,1545509615,87,0.23,37.94,60.92,2.35
Shimoda,8,JP,1545509615,100,34.7,138.93,57.37,14.99
Itoman,75,JP,1545508800,83,26.12,127.67,69.8,3.36
Sironko,64,UG,1545509615,89,1.23,34.25,61.64,2.01
Togur,44,RU,1545509616,78,58.36,82.83,-3.84,11.18
Santo Andre,68,BR,1545509616,93,-0.91,-46.86,76.49,5.03
Catuday,44,PH,1545509616,98,16.29,119.81,79.64,5.14
Semey,12,KZ,1545509616,65,50.41,80.25,-14.64,4.92
Coruripe,32,BR,1545509616,94,-10.12,-36.18,80.54,12.64
Manuk Mangkaw,76,PH,1545509617,100,4.8,119.85,80.95,10.74
Elizabeth City,1,US,1545508800,48,36.3,-76.22,56.12,12.75
Talnakh,64,RU,1545509617,62,69.49,88.39,-34.12,3.13
Sobolevo,92,RU,1545509617,92,54.43,31.9,29.38,17.45
Luderitz,0,NA,1545509617,65,-26.65,15.16,63.67,20.47
Airai,88,TL,1545509617,95,-8.93,125.41,70.24,1.57
Uvira,92,CD,1545509617,100,-3.41,29.14,62.27,1.34
Chapais,90,CA,1545507900,85,49.78,-74.86,15.8,18.34
Ostrovnoy,8,RU,1545509618,86,68.05,39.51,6.7,12.86
Balabac,44,PH,1545509618,100,7.99,117.06,80.54,5.14
Barrow,0,AR,1545509618,44,-38.31,-60.23,83.29,4.92
Camacupa,76,AO,1545509618,96,-12.02,17.48,63.89,3.58
Torbay,90,CA,1545505200,95,47.66,-52.73,35.6,19.46
Baykit,0,RU,1545509619,0,61.68,96.39,-43.75,4.14
San Policarpo,92,PH,1545509619,100,12.18,125.51,77.21,8.95
Mount Gambier,0,AU,1545505200,93,-37.83,140.78,42.8,3.36
Abramovka,88,RU,1545509619,91,51.19,41.01,22.31,7.05
Nome,1,US,1545508500,51,30.04,-94.42,75.56,13.87
Castro,90,CL,1545508800,76,-42.48,-73.76,57.2,5.82
Beruwala,64,LK,1545509620,100,6.48,79.98,79.24,9.62
Tabou,0,CI,1545509620,100,4.42,-7.36,81.62,6.38
Moorhead,40,US,1545508500,69,46.87,-96.75,32.0,17.22
Waipawa,76,NZ,1545509620,86,-39.94,176.59,61.1,3.69
Port Macquarie,44,AU,1545505200,82,-31.43,152.91,60.8,8.05
Beroroha,0,MG,1545509621,94,-21.68,45.17,70.24,3.24
Stepnyak,88,KZ,1545509621,71,52.83,70.79,0.8,8.61
Sitka,0,US,1545509621,35,37.17,-99.65,53.81,6.93
Hambantota,88,LK,1545509621,100,6.12,81.12,77.8,5.14
Ghanzi,48,BW,1545509621,31,-21.7,21.65,81.94,10.29
Quesnel,75,CA,1545505200,85,52.98,-122.49,17.6,6.15
Port Blair,36,IN,1545509622,100,11.67,92.75,82.25,10.29
Lakhimpur,0,IN,1545509622,80,27.24,94.1,53.68,4.47
Preobrazheniye,80,RU,1545509622,83,42.9,133.91,17.81,2.46
Tual,64,ID,1545509622,100,-5.67,132.75,82.52,13.2
Hearst,48,CA,1545509623,60,49.69,-83.67,4.54,5.14
Muhos,0,FI,1545508200,84,64.81,26.0,-2.21,4.7
Leningradskiy,12,RU,1545509623,100,69.38,178.42,-16.84,14.2
Acari,76,BR,1545509623,46,-6.44,-36.64,84.19,10.51
Cururupu,48,BR,1545509623,77,-1.82,-44.87,81.62,7.27
Vigrestad,75,NO,1545508200,80,58.57,5.7,35.6,5.82
Dolzhanskaya,92,RU,1545509624,86,46.63,37.8,35.68,13.76
Meulaboh,24,ID,1545509624,100,4.14,96.13,78.97,4.36
El Fuerte,88,MX,1545509624,35,26.42,-108.62,78.25,2.35
Jizan,20,SA,1545505200,69,16.89,42.56,82.4,4.7
Okha,36,RU,1545509624,92,53.59,142.95,10.79,8.16
Mecca,0,SA,1545509374,82,21.43,39.83,61.64,2.91
Bollnas,76,SE,1545509624,83,61.35,16.39,18.44,4.7
Westport,75,IE,1545505200,100,53.8,-9.52,42.8,5.82
Cortez,1,US,1545508380,34,37.35,-108.58,44.06,18.34
Khomutovka,88,RU,1545509685,93,51.92,34.56,29.2,15.55
Kuytun,68,RU,1545509685,73,54.34,101.51,7.24,2.68
Kalmunai,88,LK,1545509686,100,7.42,81.82,74.02,2.68
Srednekolymsk,32,RU,1545509686,59,67.46,153.71,-33.04,2.91
Viedma,12,AR,1545509686,29,-40.81,-62.99,91.12,5.26
Parabel,12,RU,1545509686,69,58.71,81.5,-9.37,8.39
Shenjiamen,88,CN,1545509512,100,29.96,122.3,55.16,21.7
Brae,64,GB,1545508200,100,60.4,-1.35,41.0,1.12
Bridgetown,75,CA,1545505200,87,44.84,-65.29,59.0,10.29
Klyuchi,44,RU,1545509686,59,52.25,79.17,-6.67,7.16
Saldanha,24,PT,1545509687,88,41.42,-6.55,37.3,2.68
Lata,0,IN,1545509687,50,30.78,78.62,25.87,2.46
George Town,75,MY,1545507000,88,5.42,100.33,78.8,4.7
San Quintin,80,PH,1545509687,88,17.54,120.52,70.33,3.69
Svetlaya,76,RU,1545509687,100,46.54,138.33,28.7,14.2
Toktogul,36,KG,1545509688,78,41.87,72.95,3.32,2.01
Loralai,0,PK,1545509688,61,30.37,68.6,17.05,0.34
Touros,40,BR,1545508800,74,-5.2,-35.46,82.4,14.99
Rio Grande,75,BR,1545505200,62,-32.03,-52.1,84.2,10.29
Kibaya,75,RW,1545508800,88,-2.2,30.56,66.2,3.36
Dedza,92,MW,1545509770,99,-14.38,34.33,64.3,2.91
San Isidro,92,PH,1545509690,99,16.74,121.63,70.69,2.46
Trincomalee,64,LK,1545509690,98,8.58,81.23,74.83,5.14
Urengoy,0,RU,1545509690,0,65.96,78.37,-41.59,3.13
Madison,90,US,1545508500,74,43.07,-89.38,32.0,4.7
Saint-Etienne,90,FR,1545507000,93,43.82,2.74,55.4,9.17
Vestmannaeyjar,12,IS,1545509505,97,63.44,-20.27,33.79,6.6
Freehold,90,US,1545508800,58,40.26,-74.27,46.94,19.46
Beian,75,NO,1545508200,68,63.66,9.57,30.2,8.05
Khuzhir,44,RU,1545509692,100,53.19,107.35,11.29,7.94
Alyangula,12,AU,1545505200,83,-13.85,136.42,84.2,5.82
Pacific Grove,1,US,1545508500,69,36.62,-121.92,60.08,5.82
Baisha,44,CN,1545509692,98,19.23,109.45,64.16,2.35
Xingcheng,8,CN,1545509692,43,40.62,120.71,21.1,14.2
Butajira,8,ET,1545509692,91,8.12,38.38,41.39,2.57
Faya,0,SA,1545505200,93,18.39,42.45,59.0,5.82
Manacapuru,75,BR,1545508800,78,-3.3,-60.62,80.6,3.36
Talcher,0,IN,1545509693,84,20.95,85.21,48.19,2.68
Faanui,44,PF,1545509693,98,-16.48,-151.75,84.28,19.01
Asyut,0,EG,1545505200,62,27.18,31.19,57.2,17.22
Clyde River,20,CA,1545505200,75,70.47,-68.59,-18.41,13.87
Mahebourg,75,MU,1545508800,83,-20.41,57.7,78.8,17.22
Chara,40,GR,1545504600,100,39.42,22.43,44.6,2.91
Katangli,20,RU,1545509694,100,51.71,143.23,10.3,5.26
Smirnykh,68,RU,1545509694,74,49.74,142.83,-3.43,1.9
Henties Bay,8,NA,1545509695,95,-22.12,14.28,62.5,4.47
Fairbanks,75,US,1545508560,74,64.84,-147.72,-5.81,2.8
Souillac,90,FR,1545507000,100,45.6,-0.6,55.4,2.24
Farafangana,92,MG,1545509695,100,-22.82,47.83,77.35,15.77
Ixtapa,5,MX,1545508020,42,20.71,-105.21,80.6,6.93
Avarua,75,CK,1545508800,74,-21.21,-159.78,84.2,6.93
Namibe,24,AO,1545509696,100,-15.19,12.15,72.04,4.14
Port-Cartier,90,CA,1545506340,93,50.03,-66.88,41.0,3.36
Guerrero Negro,0,MX,1545509696,56,27.97,-114.04,73.61,6.49
Husavik,92,CA,1545509696,95,50.56,-96.99,20.69,6.6
Kavaratti,0,IN,1545509696,100,10.57,72.64,82.75,5.14
Palmer,0,AU,1545507000,87,-34.85,139.16,50.0,3.69
Ljubinje,75,BA,1545507000,81,42.95,18.09,51.8,9.17
Nanortalik,88,GL,1545509757,93,60.14,-45.24,31.94,4.14
Jiangyan,92,CN,1545509757,98,32.51,120.12,45.35,11.63
Nantucket,90,US,1545508740,83,41.28,-70.1,48.02,11.41
Coihaique,75,CL,1545508800,44,-45.58,-72.07,62.6,6.93
Yining,64,CN,1545509757,100,29.04,114.56,44.77,2.46
Cibitoke,92,BI,1545509757,100,-2.89,29.12,59.89,0.34
Abu Dhabi,40,AE,1545508800,56,24.47,54.37,69.8,13.87
Mundo Nuevo,40,CL,1545508800,72,-32.72,-71.41,66.2,8.05
Ribeira Grande,90,PT,1545507000,93,38.52,-28.7,57.2,5.82
Biak,48,ID,1545509758,100,-0.91,122.88,74.2,3.24
Nara,75,JP,1545508800,100,34.68,135.8,51.8,3.36
Kulevcha,80,UA,1545509758,100,46.03,29.93,36.67,10.96
Champerico,5,MX,1545507780,36,16.38,-93.6,78.8,8.05
Bereda,0,ES,1545507000,87,43.27,-7.54,55.4,5.82
Bilibino,32,RU,1545509759,0,68.06,166.44,-41.37,2.24
Loandjili,40,CG,1545505200,88,-4.77,11.87,80.6,8.05
Plouzane,90,FR,1545507000,100,48.38,-4.62,51.8,9.17
Bafia,0,CM,1545509759,57,4.74,11.22,71.45,3.24
Dergachi,88,RU,1545509759,88,51.24,48.77,10.25,9.73
Poum,76,MK,1545509759,100,41.28,20.71,30.19,1.9
Souris,90,CA,1545508080,100,46.36,-62.25,48.2,14.99
Cockburn Town,20,TC,1545509759,100,21.46,-71.14,80.5,6.93
Mbengwi,0,CM,1545509760,66,6.0,10.01,55.84,2.57
Sabang,92,PH,1545509760,100,13.72,123.58,75.59,11.74
Chulman,56,RU,1545509760,53,56.84,124.9,-12.34,8.05
Crotone,90,IT,1545504900,100,39.09,17.12,33.8,6.93
Goderich,64,CA,1545509760,83,43.74,-81.71,30.55,14.76
Portland,90,US,1545508380,67,45.52,-122.67,44.06,20.8
Yunhe,92,CN,1545509761,99,28.12,119.57,54.22,2.13
Bathsheba,40,BB,1545508800,65,13.22,-59.52,82.4,18.34
Deputatskiy,20,RU,1545509761,0,69.3,139.9,-41.14,2.91
Cayenne,88,GF,1545508800,88,4.94,-52.33,78.8,8.05
Itarema,56,BR,1545509762,72,-2.92,-39.92,82.7,11.97
Khandbari,0,NP,1545509762,31,27.38,87.21,16.87,1.34
Cangzhou,64,CN,1545509762,56,38.3,116.85,24.79,15.77
Holme,75,GB,1545508200,81,53.7,-2.31,46.4,5.82
Ipueiras,80,BR,1545509762,34,-6.66,-37.55,87.88,5.03
Iqaluit,90,CA,1545507000,70,63.75,-68.52,-5.81,31.09
Leh,12,IN,1545509763,0,34.16,77.58,-43.3,1.57
Cartagena del Chaira,36,CO,1545509763,62,1.33,-74.84,84.77,2.8
Marawi,80,PH,1545509763,100,8.0,124.29,68.08,1.68
Danville,1,US,1545510000,43,36.59,-79.4,53.06,11.41
Virginia Beach,20,US,1545508560,45,36.85,-75.98,56.12,10.29
Healdsburg,1,US,1545508500,81,38.61,-122.87,51.8,5.48
Santa Vitoria do Palmar,88,BR,1545509764,97,-33.52,-53.37,68.8,10.74
Hualmay,32,PE,1545509764,67,-11.1,-77.61,75.82,6.04
Palana,24,RU,1545509764,80,59.08,159.95,5.75,2.13
Hamilton,90,CA,1545507060,80,43.26,-79.87,33.8,19.46
Paidha,12,UG,1545509765,76,2.42,30.99,66.86,2.91
Sonari,0,IN,1545509765,87,27.03,95.02,51.2,1.01
Gurmatkal,8,IN,1545509765,77,16.87,77.4,71.59,8.16
Necochea,0,AR,1545509765,68,-38.55,-58.74,78.52,4.92
Adwa,0,ET,1545509766,84,14.16,38.9,42.7,2.68
Jambi,80,ID,1545509766,98,-1.6,103.62,74.69,2.91
Ust-Kuyga,24,RU,1545509766,0,70.0,135.55,-43.12,3.13
Severo-Kurilsk,0,RU,1545509766,100,50.68,156.12,23.35,4.36
Ambon,90,FR,1545507000,100,47.55,-2.56,53.6,4.7
Altay,0,CN,1545509848,40,47.83,88.13,-29.98,2.01
Puerto Escondido,20,MX,1545507660,69,15.86,-97.07,82.4,11.41
Kogon,90,UZ,1545508800,100,39.73,64.54,30.2,4.7
Cap Malheureux,75,MU,1545508800,83,-19.98,57.61,78.8,17.22
Kavieng,92,PG,1545509827,100,-2.57,150.8,81.94,4.14
Katobu,76,ID,1545509827,93,-4.94,122.53,83.02,10.96
Half Moon Bay,1,US,1545508800,38,37.46,-122.43,59.0,8.05
Manado,40,ID,1545508800,100,1.49,124.85,75.2,2.24
Sao Felix do Xingu,0,BR,1545509828,88,-6.64,-51.99,76.85,2.46
Ewa Beach,1,US,1545508620,64,21.32,-158.01,80.06,6.93
Kalamazoo,90,US,1545508560,74,42.29,-85.59,33.08,5.82
College,75,US,1545508560,74,64.86,-147.8,-5.81,2.8
Ferme-Neuve,88,CA,1545509828,69,46.7,-75.45,24.88,11.3
Mayo,5,CA,1545505200,67,63.59,-135.9,-23.81,3.36
La Paz,75,MX,1545507600,26,24.15,-110.32,82.4,3.91
San Patricio,44,PY,1545509829,87,-26.98,-56.83,78.7,3.69
Muisne,40,EC,1545508800,83,0.61,-80.02,82.4,4.7
Amahai,76,ID,1545509829,100,-3.31,129.0,77.8,5.03
Khatanga,48,RU,1545509829,81,71.98,102.47,-18.51,17.22
Shakawe,24,BW,1545509829,37,-18.36,21.84,80.0,7.05
Taoudenni,0,ML,1545509829,33,22.68,-3.98,59.3,12.19
Neuquen,0,AR,1545508800,10,-38.95,-68.06,93.2,6.93
Chuy,88,UY,1545509830,97,-33.69,-53.46,68.8,10.74
Umm Lajj,8,SA,1545509830,100,25.02,37.27,64.93,7.94
Broken Hill,0,AU,1545508800,41,-31.97,141.45,60.8,11.41
Anchorage,20,US,1545508560,99,61.22,-149.89,21.92,3.36
Lavrentiya,64,RU,1545509830,100,65.58,-170.99,6.2,14.2
Maues,48,BR,1545509830,87,-3.38,-57.72,81.44,3.36
Storforshei,0,NO,1545508200,78,66.4,14.52,8.6,1.12
Doha,1,QA,1545508560,53,25.29,51.53,66.2,14.99
Gao,0,ML,1545509831,40,16.28,-0.04,65.69,9.28
La Ronge,75,CA,1545505200,78,55.1,-105.3,10.4,13.87
Tbilisskaya,80,RU,1545509831,96,45.36,40.19,39.32,10.29
Waitati,0,NZ,1545509579,87,-45.75,170.57,51.11,3.91
Lishu,0,CN,1545509831,44,43.31,124.32,4.67,6.15
Bradford,40,GB,1545508200,93,53.79,-1.75,46.4,10.29
Tuatapere,0,NZ,1545509832,100,-46.13,167.69,52.91,4.14
Bandarbeyla,100,SO,1545509832,100,9.49,50.81,73.79,20.02
Pleshanovo,92,RU,1545508800,92,57.46,28.17,24.8,6.71
Hohhot,0,CN,1545508800,41,40.81,111.65,1.4,2.24
Les Cayes,36,HT,1545509832,95,18.19,-73.75,81.85,7.72
Esmeralda,8,CL,1545509832,57,-34.33,-70.9,75.37,2.68
Babu,80,CN,1545509832,91,23.23,104.89,50.75,2.68
Costinesti,0,RO,1545507000,80,43.95,28.63,39.2,14.99
